name	prize
PO210_HUMAN	1.82523410611262
CD2B2_HUMAN	1.5508017118733144
KIF2A_HUMAN	1.972153319692893
ASHWN_HUMAN	4.068226501317466
KAT6A_HUMAN	3.171504173729173
ICAM2_HUMAN	2.421118892619319
EMD_HUMAN	1.5862693413866356
NIPS2_HUMAN	2.460024012381305
PHRF1_HUMAN	2.1575526324802183
PKN1_HUMAN	1.723931270247094
CATC_HUMAN	2.7205715939563104
KNOP1_HUMAN	1.8990250440390657
S35E1_HUMAN	1.837999046187424
CYTSA_HUMAN	2.299075970419505
EXOC1_HUMAN	1.752361310862412
E2F3_HUMAN	1.8724724280059328
NKTR_HUMAN	2.0511705158995266
UBE2O_HUMAN	3.10197222951546
SAFB1_HUMAN	2.266642712619027
PSA5_HUMAN	1.8112602031282
MED17_HUMAN	2.248885606200305
RB12B_HUMAN	2.0672868878993915
M18BP_HUMAN	1.4030029785508336
DGKZ_HUMAN	3.172875137451181
BAG4_HUMAN	1.824490505107412
SAFB2_HUMAN	1.6581081893684837
AFF4_HUMAN	2.6132693051799283
BANP_HUMAN	1.3792142393579827
MCRS1_HUMAN	2.163937425840788
TNPO1_HUMAN	2.3191552675638136
SFR19_HUMAN	2.0284998413815085
ARHG7_HUMAN	2.2002029014346296
RBP2_HUMAN	3.1989946829845137
ZC3HE_HUMAN	2.0058521910104714
PSD12_HUMAN	1.5862693413866356
GOGA3_HUMAN	1.981215747310045
PPAC_HUMAN	1.9100407337324945
CYLD_HUMAN	1.612106355371317
TBCD4_HUMAN	2.3346504091989
MBP_HUMAN	2.1153446040349304
G45IP_HUMAN	2.096915132267372
SCFD1_HUMAN	1.6363175266233958
SET1A_HUMAN	2.468815989645967
EP400_HUMAN	2.722718898351411
TMCC1_HUMAN	1.7203089953793032
HNRL2_HUMAN	2.100598551485609
NUMBL_HUMAN	1.9859979698209045
RAC2_HUMAN	3.1756661941859967
RALY_HUMAN	1.7746251470057748
DTL_HUMAN	2.468815989645967
PHF3_HUMAN	4.753524914278521
WDR33_HUMAN	1.5036151479308777
KIF1C_HUMAN	1.964187175737484
DYH2_HUMAN	1.8625403111619427
SRRT_HUMAN	1.0683710059022202
DNJB6_HUMAN	2.813719121184025
ZN638_HUMAN	2.7618986760443587
KAP3_HUMAN	1.7197271245341366
MARE2_HUMAN	2.3120067881397053
LKHA4_HUMAN	2.275461046622304
NCK5L_HUMAN	1.7058908923864156
DC1I2_HUMAN	1.4561773765895465
LIME1_HUMAN	3.588092477415545
CHD2_HUMAN	1.176455518274309
RB_HUMAN	3.626187913390664
FETUA_HUMAN	4.898987333103724
CPEB4_HUMAN	1.7693755454994993
EIF3M_HUMAN	3.196152667824138
TMX1_HUMAN	2.3346504091989
PAPOG_HUMAN	1.934034934751904
PACS1_HUMAN	1.5815710539796546
CNOT3_HUMAN	2.1502680638116165
TLE4_HUMAN	1.8395148709869915
TANK_HUMAN	2.2131654802235623
COG1_HUMAN	1.3638146224972307
LS14A_HUMAN	3.6258385285883454
HTSF1_HUMAN	4.388776771651659
PATL1_HUMAN	2.5294212306813564
M3K2_HUMAN	2.8984675262792234
TXNL1_HUMAN	1.117211254321597
CCD86_HUMAN	4.649058136710953
AAPK1_HUMAN	2.196487406850244
FXR2_HUMAN	1.609781829954048
NUMA1_HUMAN	2.9597387852660417
DLG2_HUMAN	1.6263911649091207
CTRO_HUMAN	2.299075970419505
SEPT3_HUMAN	2.810462680348271
INCE_HUMAN	3.147133146874228
UBAC2_HUMAN	4.441375748603867
TRAD1_HUMAN	3.6070470127990206
BMP2K_HUMAN	2.256800668588044
FAS_HUMAN	1.7278430117838308
PTN2_HUMAN	1.670224654391797
SLK_HUMAN	2.0058521910104714
WEE1_HUMAN	2.3481915494629093
REN3B_HUMAN	3.034239119311437
MAP4_HUMAN	3.600840934114592
CHERP_HUMAN	2.023409087697932
ZN644_HUMAN	1.6133054617811813
TFP11_HUMAN	1.4845903185473337
RNPS1_HUMAN	3.10197222951546
TDIF2_HUMAN	2.1388767056303064
PRSR1_HUMAN	1.7126554558223508
DOCK7_HUMAN	3.1624955108401056
ASPP2_HUMAN	1.6579730692224444
EKI1_HUMAN	2.53466969736256
CSRP1_HUMAN	3.368626896839261
CD82_HUMAN	2.37162272333702
RRP1_HUMAN	1.8419443916959364
AAK1_HUMAN	2.015226233917232
HASP_HUMAN	1.3535930799199831
UBR4_HUMAN	1.939447864804523
CUL4A_HUMAN	3.459130272877953
PCNP_HUMAN	1.3560062749673367
EF2_HUMAN	2.460629325043291
ZKSC8_HUMAN	1.6471410347508786
SRSF9_HUMAN	3.8418096567452302
RNF8_HUMAN	2.468815989645967
PYR1_HUMAN	2.266642712619027
HSP7E_HUMAN	1.997789069484284
NUDC_HUMAN	1.8134298343206936
CND3_HUMAN	1.851538111190216
ZN622_HUMAN	2.175139594436965
DNMT1_HUMAN	3.2722368623821807
PAK4_HUMAN	4.649058136710953
PHP14_HUMAN	1.0744270981393589
PPIF_HUMAN	1.6708877591120552
RIF1_HUMAN	2.897579834240564
TMM33_HUMAN	1.8996958537048327
LCAP_HUMAN	4.247227922154882
CASP2_HUMAN	1.9955203209803056
KMT2B_HUMAN	2.3191552675638136
RHGBA_HUMAN	2.6755600065638925
AP3B1_HUMAN	2.0397413778619256
STMN1_HUMAN	4.388776771651659
P121A_HUMAN	2.3346504091989
WDR24_HUMAN	2.2337704031300354
TTF2_HUMAN	1.7565353791338274
KC1A_HUMAN	1.3106679012476816
GUAA_HUMAN	3.0379043550731826
NS1BP_HUMAN	1.551667930031181
