Node1	Node2	Frequency	Direction
YBR059C	YBL047C	0.228	D
YBR059C	YDR229W	0.228	D
YBR059C	YDR239C	0.228	D
YBR059C	YFR024CA	0.228	D
YBR059C	YLL018C	0.072	D
YBR059C	YLR206W	0.228	D
YKL166C	YBR059C	0.228	D
YBR160W	YIL122W	0.768	D
YNL307C	YDL156W	0.768	D
YBR160W	YOL100W	0.764	D
YBR160W	YNL058C	0.756	D
YJR059W	YGR100W	0.756	D
YNL307C	YNR047W	0.336	D
YJR059W	YPR074C	0.744	D
YER125W	YPR181C	0.732	D
YNL307C	YLR249W	0.724	D
YBR160W	YPL209C	0.708	D
YPL209C	YER016W	0.708	D
YPL209C	YIR010W	0.708	D
YPL209C	YLL018C	0.46	D
YPL209C	YPR115W	0.708	D
YER129W	YER027C	0.148	D
YBR160W	YAR002W	0.684	D
YBR160W	YJL076W	0.68	D
YBR160W	YEL032W	0.672	D
YBR160W	YLR096W	0.672	D
YLR096W	YGR009C	0.672	D
YLR096W	YLR257W	0.256	D
YLR096W	YNL054W	0.672	D
YBR160W	YEL061C	0.668	D
YBR160W	YDR027C	0.66	D
YJR059W	YOR209C	0.66	D
YBR160W	YHR164C	0.624	D
YJR059W	YLL038C	0.62	D
YMR216C	YCL011C	0.248	D
YMR216C	YKL064W	0.248	D
YMR216C	YLL018C	0.248	D
YMR216C	YLR133W	0.112	D
YMR216C	YNL004W	0.248	D
YMR216C	YPR042C	0.248	D
YBR160W	YJR059W	0.02	D
YBR160W	YGR238C	0.6	D
YER125W	YNL271C	0.592	D
YJR059W	YDL223C	0.436	D
YJR059W	YDR169C	0.592	D
YBR160W	YOR083W	0.584	D
YMR216C	YLR150W	0.204	D
YBR160W	YJR033C	0.556	D
YFL033C	YPL031C	0.552	D
YPL031C	YBL047C	0.396	D
YPL031C	YBR287W	0.552	D
YPL031C	YCL014W	0.552	D
YPL031C	YDL131W	0.552	D
YPL031C	YDL173W	0.552	D
YPL031C	YDR229W	0.552	D
YPL031C	YER033C	0.552	D
YPL031C	YER048C	0.552	D
YPL031C	YFR024CA	0.552	D
YPL031C	YFR034C	0.552	D
YPL031C	YGR167W	0.552	D
YPL031C	YHR009C	0.552	D
YPL031C	YIL047C	0.552	D
YPL031C	YIL084C	0.552	D
YPL031C	YIR003W	0.552	D
YPL031C	YJL146W	0.552	D
YPL031C	YKL064W	0.372	D
YPL031C	YKL127W	0.552	D
YPL031C	YLR018C	0.552	D
YPL031C	YLR093C	0.552	D
YPL031C	YLR146C	0.552	D
YPL031C	YML016C	0.552	D
YPL031C	YML117W	0.552	D
YPL031C	YNL104C	0.552	D
YPL031C	YNL166C	0.552	D
YPL031C	YNL233W	0.552	D
YPL031C	YOL060C	0.552	D
YPL031C	YOL070C	0.552	D
YPL031C	YOR298CA	0.552	D
YPL031C	YOR301W	0.552	D
YPL031C	YOR359W	0.552	D
YPL031C	YPR042C	0.372	D
YPL209C	YLR150W	0.372	D
YBR160W	YDR130C	0.548	D
YPL031C	YER125W	0.512	D
YBR160W	YKL048C	0.544	D
YBR160W	YOR315W	0.544	D
YDR477W	YER027C	0.544	D
YKL048C	YDR477W	0.544	D
YKL048C	YJR053W	0.544	D
YBR160W	YGR188C	0.528	D
YDR477W	YJL110C	0.528	D
YBR160W	YDR227W	0.512	D
YJR059W	YDR208W	0.508	D
YBR160W	YDR507C	0.492	D
YDR507C	YMR086W	0.492	D
YLR113W	YMR172W	0.48	D
YJR059W	YKR100C	0.476	D
YBR160W	YLR425W	0.464	D
YJR059W	YNR013C	0.464	D
YNL307C	YKL146W	0.444	D
YDR490C	YDR283C	0.416	D
YDR490C	YHR205W	0.416	D
YDR490C	YKL126W	0.416	D
YDR490C	YMR104C	0.416	D
YER089C	YHR079C	0.416	D
YER089C	YLR113W	0.416	D
YHR079C	YDR328C	0.416	D
YHR079C	YLR257W	0.416	D
YHR079C	YLR429W	0.416	D
YHR079C	YNL155W	0.416	D
YHR079C	YNL192W	0.416	D
YHR079C	YNL224C	0.416	D
YHR079C	YNR047W	0.416	D
YHR079C	YOR113W	0.416	D
YKL126W	YDL022W	0.416	D
YMR104C	YMR109W	0.416	D
YPL031C	YER089C	0.416	D
YDR420W	YHR154W	0.408	U
YLR113W	YER118C	0.408	D
YPL031C	YPL193W	0.408	D
YPL031C	YDL225W	0.4	D
YOL045W	YCL037C	0.396	D
YJR059W	YHL034C	0.388	D
YDR420W	YOR153W	0.38	U
YPL031C	YOR110W	0.38	D
YPL031C	YIL033C	0.372	D
YJR059W	YLR319C	0.364	D
YPL031C	YLL024C	0.36	D
YHR030C	YGL122C	0.352	D
YPL209C	YLR192C	0.352	D
YPL031C	YHR183W	0.336	D
YDR477W	YGL035C	0.332	D
YJR059W	YPR040W	0.32	D
YER125W	YBR290W	0.316	D
YDR054C	YNL103W	0.304	D
YHR205W	YDR054C	0.304	D
YHR030C	YLR442C	0.3	D
YBR160W	YPL124W	0.292	D
YLR113W	YIR006C	0.292	D
YPL031C	YBR130C	0.26	D
YPL031C	YJR070C	0.244	D
YBR160W	YIL031W	0.24	D
YJR059W	YGL008C	0.24	D
YBR160W	YAL019W	0.228	D
YBR160W	YJR083C	0.228	D
YOL045W	YOR276W	0.216	D
YPL031C	YBL086C	0.212	D
YDR477W	YOL059W	0.2	D
YDR477W	YER028C	0.188	D
YPL031C	YBR109C	0.188	D
