Name	Number of nodes	Number of undirected edges	Number of connected components	Nodes in prize	Nodes in sources	Nodes in targets
output/data0-omicsintegrator1-params-CLX7C33/pathway.txt	172	168	4	170	0	0
output/data0-omicsintegrator1-params-CS4NHE7/pathway.txt	141	139	2	140	0	0
output/data0-omicsintegrator1-params-CWLV2ZG/pathway.txt	313	306	7	308	0	0
output/data0-omicsintegrator1-params-CY7QKFU/pathway.txt	234	230	4	231	0	0
output/data0-omicsintegrator1-params-D6ALNWJ/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-DDZEC6U/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-DMZBNZF/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-DPRRWEP/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-DSJNE5K/pathway.txt	155	152	3	153	0	0
output/data0-omicsintegrator1-params-DWSQMOQ/pathway.txt	132	130	2	131	0	0
output/data0-omicsintegrator1-params-E4SWIES/pathway.txt	320	313	7	315	0	0
output/data0-omicsintegrator1-params-E64HT6R/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-EB4PLQR/pathway.txt	268	263	5	263	0	0
output/data0-omicsintegrator1-params-EK7SM7R/pathway.txt	185	181	4	183	0	0
output/data0-omicsintegrator1-params-EP2CE5V/pathway.txt	279	274	5	274	0	0
output/data0-omicsintegrator1-params-EUK44FP/pathway.txt	273	268	5	268	0	0
output/data0-omicsintegrator1-params-EXIH3IT/pathway.txt	288	283	5	283	0	0
output/data0-omicsintegrator1-params-F37SCX4/pathway.txt	136	134	2	135	0	0
output/data0-omicsintegrator1-params-FB4XA5V/pathway.txt	200	196	4	198	0	0
output/data0-omicsintegrator1-params-FFZIV76/pathway.txt	309	302	7	304	0	0
output/data0-omicsintegrator1-params-FKONCUE/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-FQO4HUL/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-FW3OONY/pathway.txt	277	272	5	272	0	0
output/data0-omicsintegrator1-params-G6PQ2OL/pathway.txt	131	129	2	130	0	0
output/data0-omicsintegrator1-params-GBV5CR6/pathway.txt	260	255	5	255	0	0
output/data0-omicsintegrator1-params-GDWUEKM/pathway.txt	154	151	3	152	0	0
output/data0-omicsintegrator1-params-GGD5HVW/pathway.txt	238	234	4	235	0	0
output/data0-omicsintegrator1-params-GRC74NC/pathway.txt	237	233	4	234	0	0
output/data0-omicsintegrator1-params-GRLMV3U/pathway.txt	148	145	3	146	0	0
output/data0-omicsintegrator1-params-GV3MWNC/pathway.txt	245	241	4	242	0	0
output/data0-omicsintegrator1-params-GVJXCZQ/pathway.txt	178	174	4	176	0	0
output/data0-omicsintegrator1-params-GXC4EJE/pathway.txt	308	301	7	303	0	0
output/data0-omicsintegrator1-params-GYGDQD4/pathway.txt	280	275	5	275	0	0
output/data0-omicsintegrator1-params-HBIQTJJ/pathway.txt	136	134	2	135	0	0
output/data0-omicsintegrator1-params-HHA22CN/pathway.txt	206	201	5	204	0	0
output/data0-omicsintegrator1-params-HIKHRBP/pathway.txt	190	186	4	188	0	0
output/data0-omicsintegrator1-params-HM3V6ST/pathway.txt	133	131	2	132	0	0
output/data0-omicsintegrator1-params-HOW24WE/pathway.txt	212	207	5	210	0	0
output/data0-omicsintegrator1-params-HQQAA5R/pathway.txt	258	253	5	253	0	0
output/data0-omicsintegrator1-params-IG3Q5WP/pathway.txt	317	310	7	312	0	0
output/data0-omicsintegrator1-params-IKK46D6/pathway.txt	192	188	4	190	0	0
output/data0-omicsintegrator1-params-IPBTH3Q/pathway.txt	210	205	5	208	0	0
output/data0-omicsintegrator1-params-ISIN3C5/pathway.txt	309	302	7	304	0	0
output/data0-omicsintegrator1-params-IT7E42H/pathway.txt	323	316	7	318	0	0
output/data0-omicsintegrator1-params-IY3MYXP/pathway.txt	311	304	7	306	0	0
output/data0-omicsintegrator1-params-J2PEFBM/pathway.txt	285	280	5	280	0	0
output/data0-omicsintegrator1-params-J3RBMTT/pathway.txt	212	207	5	210	0	0
output/data0-omicsintegrator1-params-J55O4GL/pathway.txt	270	265	5	265	0	0
output/data0-omicsintegrator1-params-J6K4YN3/pathway.txt	236	232	4	233	0	0
output/data0-omicsintegrator1-params-J7OQH3P/pathway.txt	244	240	4	241	0	0
output/data0-omicsintegrator1-params-JACXO3Y/pathway.txt	274	269	5	269	0	0
output/data0-omicsintegrator1-params-JGTSRYT/pathway.txt	240	236	4	237	0	0
output/data0-omicsintegrator1-params-JRHLSP2/pathway.txt	187	183	4	185	0	0
output/data0-omicsintegrator1-params-JRUMVAR/pathway.txt	305	298	7	300	0	0
output/data0-omicsintegrator1-params-JWNKVNW/pathway.txt	276	271	5	271	0	0
output/data0-omicsintegrator1-params-K3QEHFU/pathway.txt	136	134	2	135	0	0
output/data0-omicsintegrator1-params-K6BJU7E/pathway.txt	155	152	3	153	0	0
output/data0-omicsintegrator1-params-KCLENH3/pathway.txt	321	314	7	316	0	0
output/data0-omicsintegrator1-params-KEEFHIT/pathway.txt	323	316	7	318	0	0
output/data0-omicsintegrator1-params-KLPKYR5/pathway.txt	151	148	3	149	0	0
output/data0-omicsintegrator1-params-KQPZUZL/pathway.txt	150	147	3	148	0	0
output/data0-omicsintegrator1-params-KXWSSXJ/pathway.txt	181	177	4	179	0	0
output/data0-omicsintegrator1-params-L2NP3YC/pathway.txt	287	282	5	282	0	0
output/data0-omicsintegrator1-params-L3FLK27/pathway.txt	191	187	4	189	0	0
output/data0-omicsintegrator1-params-L46EEOS/pathway.txt	283	278	5	278	0	0
output/data0-omicsintegrator1-params-L5JIPCL/pathway.txt	277	272	5	272	0	0
output/data0-omicsintegrator1-params-L77IVYZ/pathway.txt	327	319	8	322	0	0
output/data0-omicsintegrator1-params-LA6WGBO/pathway.txt	238	234	4	235	0	0
output/data0-omicsintegrator1-params-LIFQRWP/pathway.txt	297	291	6	292	0	0
