algorithm	PC1	PC2
hiv060-omicsintegrator1-params-L2HU4XD	-5.825525863935776	-3.360664119803647
hiv060-omicsintegrator1-params-OA2LKJB	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-I6LVYQ7	-6.494215468414257	33.52681728714544
hiv060-omicsintegrator1-params-D7XEWKT	-5.906473122376458	-1.6204544838237103
hiv060-omicsintegrator1-params-7M4YEVF	-5.825525863935776	-3.360664119803647
hiv060-omicsintegrator1-params-ZZYQSRD	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-WQ6V5PX	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-XQ2C7V7	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-CML462S	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-ZWKBRYR	138.96696619352736	0.19952348044886037
hiv060-omicsintegrator1-params-T77D7QZ	-4.429657506536267	-0.5911063122590277
hiv060-omicsintegrator1-params-SWWL7WP	-5.580574041153288	-3.428846367835781
hiv060-omicsintegrator1-params-FYCKMYA	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-H766NCA	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-EAX635F	-5.909330349384268	50.595239042512475
hiv060-omicsintegrator1-params-2NKIR7L	-5.9425118496122415	2.3210093297209506
hiv060-omicsintegrator1-params-JZPC2XQ	-5.8533997480358275	-2.992314447204819
hiv060-omicsintegrator1-params-PI44E6Y	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-Y3DQROJ	-6.339299998210552	69.61891149770925
hiv060-omicsintegrator1-params-RCIIWF5	-6.009924436218091	3.5579928552566704
hiv060-omicsintegrator1-params-2NFVB7W	-5.871142563022012	-2.8199876318643664
hiv060-omicsintegrator1-params-OWG4JUJ	-5.758210890527096	-3.933514742723412
hiv060-omicsintegrator1-params-PQYTDPN	-5.859703201602219	86.14654193251093
hiv060-omicsintegrator1-params-BS7GMXF	-6.012023008412009	4.910047248464368
hiv060-omicsintegrator1-params-7JTTPPE	-5.871142563022012	-2.8199876318643664
