algorithm	PC1	PC2
hiv060-omicsintegrator1-params-LWUMKKP	-5.914934565437481	-2.166368183754139
hiv060-omicsintegrator1-params-L2HU4XD	-5.825525863935795	-3.3606641198036162
hiv060-omicsintegrator1-params-OA2LKJB	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-I6LVYQ7	-6.494215468414076	33.526817287145555
hiv060-omicsintegrator1-params-D7XEWKT	-5.906473122376467	-1.620454483823666
hiv060-omicsintegrator1-params-7M4YEVF	-5.825525863935795	-3.3606641198036162
hiv060-omicsintegrator1-params-ZZYQSRD	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-WQ6V5PX	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-XQ2C7V7	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-CML462S	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-ZWKBRYR	138.9669661935279	0.19952348044810275
hiv060-omicsintegrator1-params-T77D7QZ	-4.4296575065362696	-0.5911063122590059
hiv060-omicsintegrator1-params-SWWL7WP	-5.580574041153306	-3.4288463678357575
hiv060-omicsintegrator1-params-FYCKMYA	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-H766NCA	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-EAX635F	-5.909330349383996	50.595239042512546
hiv060-omicsintegrator1-params-2NKIR7L	-5.942511849612228	2.3210093297210177
hiv060-omicsintegrator1-params-JZPC2XQ	-5.8533997480358435	-2.992314447204783
hiv060-omicsintegrator1-params-PI44E6Y	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-Y3DQROJ	-6.339299998210178	69.61891149770916
hiv060-omicsintegrator1-params-RCIIWF5	-6.009924436218071	3.557992855256746
hiv060-omicsintegrator1-params-2NFVB7W	-5.871142563022027	-2.819987631864329
hiv060-omicsintegrator1-params-OWG4JUJ	-5.758210890527117	-3.9335147427233896
hiv060-omicsintegrator1-params-PQYTDPN	-5.859703201601755	86.14654193251057
hiv060-omicsintegrator1-params-BS7GMXF	-6.0120230084119815	4.910047248464451
hiv060-omicsintegrator1-params-7JTTPPE	-5.871142563022027	-2.819987631864329
