name	prize
PNISR_HUMAN	1.9134882382668328
UBN1_HUMAN	1.601064624453597
MY18A_HUMAN	2.175819836002309
SLTM_HUMAN	2.1439001320846174
LEO1_HUMAN	1.576851257996113
SC61B_HUMAN	1.969143829670624
S39A7_HUMAN	2.0741363450505035
MTFR1_HUMAN	1.2392179222024022
SPIR1_HUMAN	2.093004073260828
CDA7L_HUMAN	1.8159384695411844
TEBP_HUMAN	1.603907509952331
DDX21_HUMAN	2.0741363450505035
TBC13_HUMAN	2.1478379363448883
SP16H_HUMAN	2.829700827078314
UBR5_HUMAN	1.9368901870733024
MA7D1_HUMAN	1.7092399321618308
SPT4H_HUMAN	1.6203457919362023
ACTY_HUMAN	1.3929551436380998
RSRC2_HUMAN	2.62527679827281
MFF_HUMAN	1.3393202241362625
VIME_HUMAN	1.6047294192141035
MB12A_HUMAN	1.7940052918727143
HOMEZ_HUMAN	3.1604645579223023
KDM3B_HUMAN	1.6527500850207928
CHD4_HUMAN	1.398338110192834
JIP4_HUMAN	2.057475184452913
KI67_HUMAN	2.198038970223691
UFL1_HUMAN	2.091231409713808
ARBK2_HUMAN	1.1626041254547057
KBTB7_HUMAN	1.5001236856081273
AKT1_HUMAN	1.104840709561845
NASP_HUMAN	1.843796582675232
PRR12_HUMAN	1.625181279988604
EEPD1_HUMAN	1.9340489974114472
TREF1_HUMAN	1.4986862331154844
MYC_HUMAN	1.995364993831002
BPL1_HUMAN	1.663274744014383
FAF1_HUMAN	1.3507891200859448
SMG1_HUMAN	1.7493077191635205
SRSF4_HUMAN	2.093004073260828
CDK17_HUMAN	1.2606316627801153
CD5_HUMAN	1.4134962460604463
GEPH_HUMAN	1.7000852357484857
NF1_HUMAN	1.7933085596410143
TBA1B_HUMAN	3.324208299637505
PUM1_HUMAN	1.7927955325322298
KIF14_HUMAN	1.5421741826769957
OSB11_HUMAN	1.9323419277671952
PER1_HUMAN	1.4872646212864058
SI1L1_HUMAN	1.6919854649545665
T2EB_HUMAN	1.679223063064028
ATP9B_HUMAN	1.4595842003311976
KPBB_HUMAN	2.481386971939166
TPC2A_HUMAN	1.336601117149929
SNW1_HUMAN	2.0741363450505035
PARP6_HUMAN	1.003196032647505
SCMC1_HUMAN	1.0730463251789988
MARCS_HUMAN	1.6016262103462997
KLDC4_HUMAN	1.720045341334363
CSKI1_HUMAN	1.2766428307525943
RHG04_HUMAN	1.668670898676557
ARGL1_HUMAN	2.091231409713808
CNOT3_HUMAN	1.868022236667097
GIT1_HUMAN	1.7293642143059356
CLAP2_HUMAN	1.9434305219033925
APOB_HUMAN	1.9952164715454883
ATF7_HUMAN	2.1439001320846174
PACS1_HUMAN	1.9134882382668328
SENP3_HUMAN	1.917737930112788
PDS5A_HUMAN	1.9775401751552404
LEUK_HUMAN	2.300241324144712
LRRC1_HUMAN	1.795911398762831
ZC11A_HUMAN	3.3188421301096285
HNRL1_HUMAN	1.5576469662179655
CCNK_HUMAN	1.917737930112788
KIF4A_HUMAN	1.4962166717747136
NDUB8_HUMAN	2.114945948576723
PSD11_HUMAN	1.3182975778427108
ULK1_HUMAN	2.093004073260828
RAF1_HUMAN	1.045668159710195
HNRPK_HUMAN	3.3188421301096285
KDM2A_HUMAN	1.372105870811973
IPYR_HUMAN	1.4651206340344114
ZRAB2_HUMAN	1.9434305219033925
VIR_HUMAN	1.042396269280326
CO7_HUMAN	2.962566624533064
SMRC1_HUMAN	1.4576375808977051
PATL1_HUMAN	1.372105870811973
A2MG_HUMAN	3.1604645579223023
LIMA1_HUMAN	2.053529256826423
DDRGK_HUMAN	1.1002324397496726
SCPDL_HUMAN	1.188872309904105
JUNB_HUMAN	1.398338110192834
WAPL_HUMAN	1.2437444782694829
AMPD2_HUMAN	2.057475184452913
PLIN3_HUMAN	1.481077721531142
BAG6_HUMAN	1.381734440271269
SF3B1_HUMAN	2.1439001320846174
ATAD5_HUMAN	1.917737930112788
SRRM2_HUMAN	2.5599794882543963
PTBP3_HUMAN	1.6800357982877163
GELS_HUMAN	2.4104977645875323
SP130_HUMAN	1.5299457846891635
NOSIP_HUMAN	1.6231317053084626
WIPF1_HUMAN	1.8554918125016648
SCML2_HUMAN	1.553229166435797
NCOA5_HUMAN	2.0741363450505035
SELK_HUMAN	1.0940639419500142
ZC3H1_HUMAN	1.906810259700644
LRCH3_HUMAN	1.553229166435797
RIF1_HUMAN	1.9917206849966784
H13_HUMAN	1.6487484134643091
UB2J1_HUMAN	1.7907974703379206
PCF11_HUMAN	2.093004073260828
NELFE_HUMAN	2.093004073260828
KCRM_HUMAN	3.885427876677981
4EBP3_HUMAN	1.608898667913959
NEK1_HUMAN	2.036554522091055
NOP56_HUMAN	1.087160586916168
ATF2_HUMAN	2.100160602610354
SHB_HUMAN	1.3153136536263887
TIF1B_HUMAN	1.7867712786372327
TM160_HUMAN	2.2816943670374368
RRAGD_HUMAN	1.872162332032529
UBR4_HUMAN	1.5593568988240107
PRSR1_HUMAN	1.3790708641788665
H15_HUMAN	2.747877665335442
RS6_HUMAN	2.093004073260828
BRPF1_HUMAN	1.5613449534678685
CATIN_HUMAN	1.544011596513742
CRKL_HUMAN	1.6818237841265384
MCM3_HUMAN	1.111027922417744
PRC2B_HUMAN	1.462102021086222
EP400_HUMAN	1.7992020816383725
RLA2_HUMAN	1.1958261054040045
NUP93_HUMAN	1.4506568843932597
TEX2_HUMAN	2.066247893108421
RFTN1_HUMAN	1.5867062539232395
LSM12_HUMAN	1.9254733389302685
EDC4_HUMAN	1.7594791229630506
GAPD1_HUMAN	1.9917206849966784
