Node,max_freq
CREB3_HUMAN,0.08
CRKL_HUMAN,0.16
CSK21_HUMAN,0.16
CSKI1_HUMAN,0.12
CSN5_HUMAN,0.12
CSN6_HUMAN,0.12
CTCF_HUMAN,0.16
CTNB1_HUMAN,0.16
CTRO_HUMAN,0.16
CUL1_HUMAN,0.16
CUL2_HUMAN,0.16
CUL3_HUMAN,0.16
CUL4A_HUMAN,0.12
CUTC_HUMAN,0.18
CWC15_HUMAN,0.12
CYTSA_HUMAN,0.12
D0PNI1_HUMAN,0.16
D0VY79_HUMAN,0.16
D3DU92_HUMAN,0.12
D4PHA4_HUMAN,0.08
DAPK1_HUMAN,0.12
DAXX_HUMAN,0.16
DC1L1_HUMAN,0.12
DCA10_HUMAN,0.12
DCAKD_HUMAN,0.04
DCP1A_HUMAN,0.16
DCP1B_HUMAN,0.16
DCP2_HUMAN,0.16
DDA1_HUMAN,0.16
DDB1_HUMAN,0.16
DDB2_HUMAN,0.12
DDRGK_HUMAN,0.12
DDX21_HUMAN,0.16
DDX23_HUMAN,0.12
DDX58_HUMAN,0.12
DDX5_HUMAN,0.16
DEFI6_HUMAN,0.12
DENR_HUMAN,0.12
DGCR8_HUMAN,0.12
DLGP4_HUMAN,0.12
DMAP1_HUMAN,0.08
DNJB2_HUMAN,0.12
DNMT1_HUMAN,0.16
DOK2_HUMAN,0.16
DPOA2_HUMAN,0.08
DREB_HUMAN,0.08
DYL1_HUMAN,0.12
DYR1A_HUMAN,0.16
E2F1_HUMAN,0.16
E2F3_HUMAN,0.16
E2F4_HUMAN,0.12
E9KL35_HUMAN,0.12
E9KL44_HUMAN,0.08
ECT2_HUMAN,0.16
EDC4_HUMAN,0.16
EDF1_HUMAN,0.16
EF2_HUMAN,0.12
EGFR_HUMAN,0.16
EI24_HUMAN,0.12
EIF3A_HUMAN,0.16
EIF3B_HUMAN,0.04
EIF3F_HUMAN,0.12
ELF1_HUMAN,0.16
ELP1_HUMAN,0.12
EMD_HUMAN,0.16
EMSY_HUMAN,0.17
EP300_HUMAN,0.16
EP400_HUMAN,0.08
ERBB2_HUMAN,0.16
ERIC1_HUMAN,0.12
ESYT2_HUMAN,0.08
EVL_HUMAN,0.12
EXOC4_HUMAN,0.12
EXOC7_HUMAN,0.08
EZRI_HUMAN,0.12
F110C_HUMAN,0.12
F6KD01_HUMAN,0.12
FADD_HUMAN,0.16
FAF1_HUMAN,0.16
FBX41_HUMAN,0.12
FBX42_HUMAN,0.12
FBXW7_HUMAN,0.12
FEN1_HUMAN,0.04
FGD6_HUMAN,0.12
FIZ1_HUMAN,0.08
FKBP4_HUMAN,0.16
FLII_HUMAN,0.08
FNBP4_HUMAN,0.16
FOS_HUMAN,0.16
G3XAN8_HUMAN,0.08
G4XH65_HUMAN,0.16
GATA4_HUMAN,0.09
GBRAP_HUMAN,0.12
GBRL1_HUMAN,0.16
