name	prize
DEN1B_HUMAN	1.4200481489287875
PCLO_HUMAN	3.1395052780156214
MK14_HUMAN	1.1834390080524702
TBC15_HUMAN	1.6772080389536972
KNOP1_HUMAN	1.917737930112788
ARI3A_HUMAN	1.553229166435797
RFTN1_HUMAN	1.5867062539232395
ATN1_HUMAN	1.211178504714197
WAC_HUMAN	1.758477834900746
AKT1_HUMAN	1.104840709561845
TRI32_HUMAN	3.029008185470572
PCBP2_HUMAN	1.179739158975082
TOM1_HUMAN	1.8359056314622089
PMS2_HUMAN	1.500450124285322
AAKB1_HUMAN	1.8446537391239848
NDUA5_HUMAN	3.029621522802649
PIAS1_HUMAN	1.1681182680530655
TTC4_HUMAN	2.380388595749011
ARHG7_HUMAN	2.036554522091055
TISD_HUMAN	1.663274744014383
CHIP_HUMAN	1.3951713002688575
NKTR_HUMAN	1.8429899049403595
UBE2T_HUMAN	2.0741363450505035
CDK17_HUMAN	1.2606316627801153
PHF20_HUMAN	2.0741363450505035
PAPOG_HUMAN	1.4012255401070153
LDB1_HUMAN	1.3638978446465069
H2B1M_HUMAN	2.093004073260828
OSBL3_HUMAN	1.2849550851075413
KLF13_HUMAN	1.5593568988240107
PSN1_HUMAN	1.3955225663490065
FADD_HUMAN	1.3219024088198772
PYR1_HUMAN	1.917737930112788
CRIP2_HUMAN	1.152390933348122
NFAC3_HUMAN	1.4200481489287875
RN114_HUMAN	1.2718500041542673
FBX42_HUMAN	1.5836658366009186
TB22B_HUMAN	1.813795383823543
ZN609_HUMAN	1.651172937797034
RASL3_HUMAN	2.7306756910406835
MRP_HUMAN	1.9064228740215896
SYMPK_HUMAN	2.093004073260828
CDA7L_HUMAN	1.8159384695411844
DTBP1_HUMAN	1.8554918125016648
PHAG1_HUMAN	1.6323040840368914
DOT1L_HUMAN	1.9301631333073044
GUAA_HUMAN	1.4574508741014025
ELF1_HUMAN	2.0741363450505035
DDX55_HUMAN	1.3099985711203703
LRCH3_HUMAN	1.553229166435797
I2BP2_HUMAN	1.5758455443241708
PER1_HUMAN	1.4872646212864058
STML2_HUMAN	1.2606316627801153
CCAR2_HUMAN	2.047635344122845
DOCK7_HUMAN	1.4991713079622904
NOL8_HUMAN	1.603907509952331
NOLC1_HUMAN	2.093004073260828
SRSF4_HUMAN	2.093004073260828
MIA2_HUMAN	1.8721924141342208
TPR_HUMAN	1.5067032141687422
KDM6B_HUMAN	1.4991713079622904
NUMA1_HUMAN	2.0741363450505035
SOX4_HUMAN	1.2478890430709089
E41L2_HUMAN	1.3459376771082716
CHD4_HUMAN	1.398338110192834
HAUS8_HUMAN	1.1054250730101307
ALG3_HUMAN	1.4569641682536676
SPIR1_HUMAN	2.093004073260828
TREX1_HUMAN	1.8446537391239848
PHIP_HUMAN	1.912601619901632
ABI1_HUMAN	2.481386971939166
TBD2B_HUMAN	1.4917764239854727
CAF1A_HUMAN	2.0000647481974987
NU107_HUMAN	2.0437288702099448
PPM1G_HUMAN	1.3638978446465069
PXK_HUMAN	1.6710146392964635
PSIP1_HUMAN	1.625271323331981
HXB4_HUMAN	1.9750550166567504
EEPD1_HUMAN	1.9340489974114472
A2AP_HUMAN	2.962566624533064
C2CD5_HUMAN	1.594359049740105
TMM11_HUMAN	1.839990089386036
IF4G1_HUMAN	1.7184322502679668
IBP2_HUMAN	1.530585166912765
CBX8_HUMAN	1.7720618765978158
REEP4_HUMAN	1.5153527618285414
KIF22_HUMAN	1.4594594113221078
P121A_HUMAN	1.6324656025906694
CPPED_HUMAN	1.0860017014311272
SEPT6_HUMAN	1.0880741151441735
OXSR1_HUMAN	1.6753615114019746
KCTD9_HUMAN	1.2074600584781503
CD3Z_HUMAN	1.456273589935328
MCES_HUMAN	2.093004073260828
ARFG1_HUMAN	1.720045341334363
UCK2_HUMAN	1.254357705738553
SASH3_HUMAN	1.773513627853916
YLPM1_HUMAN	1.7720618765978158
F110C_HUMAN	2.047635344122845
SFSWA_HUMAN	2.093004073260828
PARG_HUMAN	1.679223063064028
WIPF2_HUMAN	1.4364871925598512
HERC1_HUMAN	1.815501713477811
TF3B_HUMAN	1.917737930112788
SEPT9_HUMAN	1.4077462420892584
ETS1_HUMAN	1.432391983160914
PHF8_HUMAN	2.20252042150617
MDN1_HUMAN	2.0162849025813614
RBM22_HUMAN	2.1439001320846174
MDC1_HUMAN	1.2736999749815556
ANLN_HUMAN	1.8014868709712133
CNBP_HUMAN	1.1525590608925138
CE350_HUMAN	2.091231409713808
CBX5_HUMAN	2.0694380337606075
SPD2A_HUMAN	1.815501713477811
PTBP1_HUMAN	2.962566624533064
RPRD2_HUMAN	1.7000852357484857
GEPH_HUMAN	1.7000852357484857
MFF_HUMAN	1.3393202241362625
DDX21_HUMAN	2.0741363450505035
CATG_HUMAN	1.855379419846188
CUX1_HUMAN	2.0741363450505035
THOC2_HUMAN	1.5846150343713394
MYPT1_HUMAN	1.743972249080854
R3HD1_HUMAN	1.325699598575591
PHAX_HUMAN	2.55229335257594
ZEP1_HUMAN	1.521837471774267
TMCO6_HUMAN	1.2170234258276496
SHKB1_HUMAN	1.744776394542244
MA7D1_HUMAN	1.7092399321618308
ARI4A_HUMAN	2.0694380337606075
RRP12_HUMAN	2.296341778114889
HMHA1_HUMAN	2.320724815309965
ATP9B_HUMAN	1.4595842003311976
RPGP2_HUMAN	1.883349235592444
MY18A_HUMAN	2.175819836002309
RAI1_HUMAN	2.407172399141249
K1C9_HUMAN	1.3012384398573682
EF2K_HUMAN	1.90964677968256
SNRK_HUMAN	1.386059858172826
